Test Suite,Enabled,Description,oldPassword,newPassword,reEnterPassword,errorMsgOldPassword,errorMsgNewPassword,errorMsgReTypePassword,alertMsgok
changePassword,1,All fileds are empty,,,,No password provided.,No new password provided.,No Re-password provided.,NaN
changePassword,1,Password length more than six,Tb3@,Tb3#,Tb3@,Password is too short - should be 6 chars minimum.,Password is too short - should be 6 chars minimum.,NaN,NaN
changePassword,1,Password must contain atleast one letter,123456@,123456@,123456@,"Password should be contain One letter
",Password should be contain One letter,NaN,NaN
changePassword,1,Password must contain atleast one capital letter,abcde1f@,abcde1f@,abcde1f@,Password should be at least one capital letter,Password should be at least one capital letter,NaN,NaN
changePassword,1,Password must contain atleast one number,Abcde@,Abcde@,Abcde@,Password should be at least one number,Password should be at least one number,NaN,NaN
changePassword,1,Password must contain atleast one special character,Abcde1,Abcde1,Abcde1,Need one special character,Need one special character,NaN,NaN
changePassword,0,Enter password with leading white spaces ,Zabith@123,   Zabith@123,   Zabith@123,NaN,NaN,NaN,NaN
changePassword,0,Enter password with trailing white spaces,Zabith@123,Zabith@123,Zabith@123   ,NaN,NaN,NaN,NaN
changePassword,0,Enter old password is wrong,Tv666666#,Re444444#,Re444444#,NaN,NaN,NaN,"//span[contains(text(),'OK')]"
changePassword,0,Enter new password and re enter password is not same,Tv678678@,Tv666666@,Tv66661@,NaN,NaN,Passwords must match,NaN
changePassword,1,Enter the correct credentials,Zabith@123,Zabith#123,Zabith#123,NaN,NaN,NaN,NaN
